,title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
1727,Split,Uni.,138300000.0,140200000.0,2017,tt5495666,Split,Split,2016.0,80.0,Drama
1728,Split,Uni.,138300000.0,140200000.0,2017,tt6147768,Split,Split,2016.0,123.0,"Action,Drama,Sport"
1729,Blade Runner 2049,WB,92100000.0,167200000.0,2017,tt1856101,Blade Runner 2049,Blade Runner 2049,2017.0,164.0,"Drama,Mystery,Sci-Fi"
1730,Get Out,Uni.,176000000.0,79400000.0,2017,tt5052448,Get Out,Get Out,2017.0,104.0,"Horror,Mystery,Thriller"
1731,Kung Fu Yoga,WGUSA,363000.0,253800000.0,2017,tt4217392,Kung Fu Yoga,Gong fu yu jia,2017.0,107.0,"Action,Adventure,Comedy"
1732,Baahubali 2: The Conclusion,GrtIndia,20200000.0,234000000.0,2017,tt4849438,Baahubali 2: The Conclusion,Baahubali 2: The Conclusion,2017.0,167.0,"Action,Drama"
1733,Journey to the West: The Demons Strike Back,Sony,880000.0,245700000.0,2017,tt5273624,Journey to the West: The Demons Strike Back,Journey to the West: Demon Chapter,2017.0,109.0,"Adventure,Comedy,Fantasy"
1734,Alien: Covenant,Fox,74300000.0,166600000.0,2017,tt2316204,Alien: Covenant,Alien: Covenant,2017.0,122.0,"Horror,Sci-Fi,Thriller"
1735,Baby Driver,TriS,107800000.0,119100000.0,2017,tt3890160,Baby Driver,Baby Driver,2017.0,113.0,"Action,Crime,Drama"
1736,Valerian and the City of a Thousand Planets,STX,41200000.0,184700000.0,2017,tt2239822,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,2017.0,137.0,"Action,Adventure,Fantasy"
1737,Geostorm,WB,33700000.0,187900000.0,2017,tt1981128,Geostorm,Geostorm,2017.0,109.0,"Action,Sci-Fi,Thriller"
1738,The Emoji Movie,Sony,86100000.0,131699999.0,2017,tt4877122,The Emoji Movie,The Emoji Movie,2017.0,86.0,"Adventure,Animation,Comedy"
1739,A Dog's Purpose,Uni.,64500000.0,140500000.0,2017,tt1753383,A Dog's Purpose,A Dog's Purpose,2017.0,100.0,"Adventure,Comedy,Drama"
1740,Smurfs: The Lost Village,Sony,45000000.0,152200000.0,2017,tt2398241,Smurfs: The Lost Village,Smurfs: The Lost Village,2017.0,90.0,"Adventure,Animation,Comedy"
1741,The Shape of Water,FoxS,63900000.0,131400000.0,2017,tt5580390,The Shape of Water,The Shape of Water,2017.0,123.0,"Adventure,Drama,Fantasy"
1742,Pitch Perfect 3,Uni.,104900000.0,80500000.0,2017,tt4765284,Pitch Perfect 3,Pitch Perfect 3,2017.0,93.0,"Comedy,Music"
1743,Daddy's Home 2,Par.,104000000.0,76600000.0,2017,,,,,,
1744,The Post,Fox,81900000.0,97900000.0,2017,tt6294822,The Post,The Post,2017.0,116.0,"Biography,Drama,History"
